fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,sentiment,num_tweets
334,32.1063,-109.887,5.79,16.67,2016-08-13,2016-08-18,6,1.55,0.96,
336,32.1604,-109.898,14.36,31.48,2016-09-15,2016-09-18,4,3.03,3.59,
338,32.1604,-109.927,1.07,5.56,2016-10-02,2016-10-06,5,0.54,0.21,
340,32.1438,-115.035,0.21,1.85,2016-10-12,2016-10-12,1,0.46,0.21,
342,32.0771,-109.788,4.29,19.45,2016-05-31,2016-06-08,9,1.28,0.48,
344,32.1063,-109.739,0.21,1.85,2016-06-03,2016-06-03,1,0.46,0.21,
346,32.0979,-109.729,0.43,2.78,2016-10-05,2016-10-06,2,0.66,0.21,
348,32.0688,-109.753,0.86,4.63,2016-09-29,2016-09-29,1,0.51,0.86,
350,32.0271,-109.767,0.86,4.63,2016-09-16,2016-09-18,3,0.48,0.29,
352,31.8979,-116.052,18.65,22.22,2016-07-20,2016-07-29,10,1.7,1.87,
354,31.7813,-107.857,0.21,1.85,2016-02-02,2016-02-02,1,0.46,0.21,
356,31.7729,-107.852,0.21,1.85,2016-02-05,2016-02-05,1,0.46,0.21,
358,31.6188,-111.338,3.0,10.19,2016-02-07,2016-02-10,4,1.77,0.75,
360,31.5896,-108.661,4.29,13.89,2016-03-07,2016-03-10,4,0.8,1.07,
362,31.5938,-111.508,0.21,1.85,2016-06-30,2016-06-30,1,0.46,0.21,
364,31.5646,-111.517,0.86,4.63,2016-06-08,2016-06-08,1,0.51,0.86,
366,31.5313,-110.343,4.07,12.96,2016-05-25,2016-05-26,2,1.47,2.04,
368,31.5188,-108.183,5.36,15.74,2016-01-11,2016-01-17,7,0.99,0.77,
370,31.5313,-108.896,0.21,1.85,2016-07-05,2016-07-05,1,0.46,0.21,
372,31.4688,-111.447,4.29,14.82,2016-05-05,2016-05-08,4,1.7,1.07,
374,31.4979,-109.239,0.21,1.85,2016-08-14,2016-08-14,1,0.46,0.21,
376,31.4479,-111.232,27.44,42.6,2016-06-01,2016-06-12,12,2.2,2.29,
378,31.4271,-115.953,1.71,7.41,2016-09-24,2016-09-27,4,0.83,0.43,
380,31.3813,-108.986,16.51,34.26,2016-03-02,2016-03-11,10,1.68,1.65,
382,31.3438,-115.958,0.21,1.85,2016-11-08,2016-11-08,1,0.46,0.21,
384,31.2521,-110.401,120.05,107.42,2016-06-02,2016-06-13,12,4.58,10.0,
386,31.3146,-108.791,9.43,20.37,2016-05-29,2016-06-05,8,2.17,1.18,
388,31.2438,-108.539,0.21,1.85,2016-07-12,2016-07-12,1,0.46,0.21,
390,31.2063,-110.381,0.21,1.85,2016-06-04,2016-06-04,1,0.46,0.21,
392,31.1563,-108.307,2.14,7.41,2016-11-05,2016-11-16,12,0.72,0.18,
394,31.1521,-108.244,0.43,3.7,2016-11-07,2016-11-10,4,0.31,0.11,
396,31.1438,-108.313,0.21,1.85,2016-11-13,2016-11-13,1,0.46,0.21,
398,31.1188,-108.265,2.57,11.11,2016-11-06,2016-11-17,12,1.3,0.21,
400,31.1146,-108.294,1.29,5.56,2016-11-07,2016-11-18,12,0.52,0.11,
402,31.0979,-107.511,0.21,1.85,2016-08-20,2016-08-20,1,0.46,0.21,
404,31.0563,-111.608,6.43,14.82,2016-03-01,2016-03-15,15,1.01,0.43,
406,30.9688,-112.978,2.14,8.33,2016-01-09,2016-01-13,5,0.8,0.43,
408,30.9354,-107.789,5.57,14.82,2016-06-07,2016-06-11,5,2.07,1.11,
410,30.9063,-112.948,0.21,1.85,2016-01-01,2016-01-01,1,0.46,0.21,
412,30.9188,-110.704,4.93,12.96,2016-04-18,2016-04-23,6,1.46,0.82,
414,30.8979,-108.267,0.21,1.85,2016-06-27,2016-06-27,1,0.46,0.21,
