fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,sentiment,num_tweets
92,38.8188,-122.024,0.64,3.7,2016-10-12,2016-10-19,8,0.45,0.08,-13.400000391900555,546
94,38.7729,-121.983,0.86,4.63,2016-08-26,2016-08-28,3,0.47,0.29,14.2999999642372,681
96,38.6104,-123.359,0.21,1.85,2016-08-14,2016-08-14,1,0.46,0.21,-0.49999934434891236,142
98,38.5438,-122.072,21.22,25.93,2016-08-02,2016-08-08,7,3.4,3.03,-2.6000002712011616,2109
100,38.1854,-120.643,0.43,2.78,2016-08-28,2016-08-28,1,0.46,0.43,0.30000064224004985,212
102,38.1813,-121.372,2.14,7.41,2016-03-23,2016-03-25,3,0.84,0.71,-6.70000055730344,349
104,38.1188,-115.745,0.64,3.7,2016-05-07,2016-05-07,1,0.85,0.64,-15.10000027120114,742
106,38.1146,-115.743,0.21,1.85,2016-05-19,2016-05-19,1,0.46,0.21,-56.700001317262625,322
112,37.9813,-119.149,3.0,11.11,2016-06-23,2016-06-28,6,1.76,0.5,0.3000003665685661,2800
114,37.9604,-121.556,1.29,5.56,2016-05-14,2016-05-21,8,0.62,0.16,-11.100000457465649,2206
116,37.7813,-118.926,22.94,28.71,2016-09-13,2016-09-25,13,3.56,1.76,-2.4000005260110044,1041
118,37.6479,-115.844,0.86,4.63,2016-05-29,2016-05-31,3,0.47,0.29,24.599999853968598,308
120,37.6354,-119.039,0.21,1.85,2016-07-01,2016-07-01,1,0.46,0.21,-1.5999994963407502,323
124,37.4688,-117.86,0.43,2.78,2016-05-30,2016-05-31,2,0.74,0.21,63.80000155121086,241
126,37.4396,-114.261,1.07,4.63,2016-07-29,2016-07-29,1,0.88,1.07,-29.900000540912153,354
128,37.3646,-113.523,0.86,4.63,2016-07-11,2016-07-11,1,0.53,0.86,-20.20000091493131,248
130,37.3479,-113.524,0.21,1.85,2016-07-06,2016-07-06,1,0.46,0.21,4.699999938905231,255
132,37.1229,-121.834,16.94,30.56,2016-09-26,2016-10-09,14,3.0,1.21,-1.0000013038516449,1508
134,37.0146,-119.479,8.79,14.82,2016-07-31,2016-08-02,3,2.17,2.93,6.199999842047681,1164
140,36.4604,-121.894,447.39,196.31,2016-07-21,2016-09-17,59,1.89,7.58,-14.500001050531893,19314
142,36.3188,-121.594,39.23,36.11,2016-09-15,2016-09-25,11,2.55,3.57,3.199999879300579,897
148,36.4146,-121.195,0.64,5.56,2016-04-09,2016-04-14,6,0.67,0.11,17.200000602006913,485
150,36.3896,-111.984,4.07,14.82,2016-06-14,2016-06-22,9,1.25,0.45,5.100000151991839,3042
152,36.3521,-119.758,1.93,6.48,2016-03-16,2016-03-30,15,0.5,0.13,10.599999310076235,931
156,36.2979,-112.018,13.51,27.78,2016-07-12,2016-07-31,20,1.01,0.68,-8.700000348687203,6194
158,36.2521,-118.649,0.21,1.85,2016-11-11,2016-11-11,1,0.46,0.21,-23.500000067055222,187
160,36.2396,-118.552,2.57,9.26,2016-10-22,2016-10-29,8,0.91,0.32,10.60000042021274,472
162,36.1313,-120.54,5.14,14.82,2016-08-09,2016-08-13,5,1.57,1.03,0.6000003233551849,1321
164,36.1646,-121.607,7.72,12.96,2016-09-13,2016-09-17,5,1.66,1.54,-17.10000135153534,375
166,36.1354,-121.268,3.22,10.19,2016-06-04,2016-06-09,6,1.69,0.54,-37.60000071823599,1222
168,36.0896,-118.563,0.64,4.63,2016-10-24,2016-11-01,9,0.65,0.07,-8.400001516938229,498
170,36.0104,-121.307,3.64,10.19,2016-06-02,2016-06-05,4,1.35,0.91,-47.100000293552874,860
172,35.9896,-118.572,0.21,1.85,2016-11-09,2016-11-09,1,0.46,0.21,-9.900000391900551,154
174,35.9729,-118.567,1.07,5.56,2016-11-11,2016-11-13,3,1.07,0.36,1.0000004470348258,545
176,35.9479,-111.901,5.14,11.11,2016-07-05,2016-07-12,8,1.08,0.64,21.700000214576725,1728
178,35.9313,-120.069,0.21,1.85,2016-06-18,2016-06-18,1,0.46,0.21,-4.900000734627265,353
182,35.8688,-118.026,6.43,16.67,2016-06-01,2016-06-12,12,2.34,0.54,-33.300000232458125,2077
186,35.8313,-119.578,2.14,8.33,2016-07-25,2016-08-12,19,0.65,0.11,-28.90000056326388,6628
190,35.7604,-120.812,3.22,8.33,2016-05-19,2016-05-19,1,1.4,3.22,-75.90000282078985,322
192,35.6479,-118.463,2.36,9.26,2016-06-21,2016-06-25,5,1.17,0.47,-4.700000423192987,2786
194,35.6229,-119.435,1.29,6.48,2016-10-30,2016-11-06,8,0.47,0.16,15.000000990927212,373
200,35.4063,-111.65,1.71,7.41,2016-10-18,2016-10-24,7,0.92,0.24,-28.100000055134302,477
202,35.2313,-118.693,4.93,11.11,2016-07-02,2016-07-04,3,1.65,1.64,2.100000420212745,913
204,35.0354,-111.68,7.29,16.67,2016-05-23,2016-05-29,7,1.87,1.04,10.200000974535959,858
206,34.9604,-114.618,0.21,1.85,2016-05-10,2016-05-10,1,0.46,0.21,-6.100000055134294,276
208,34.9396,-114.62,2.14,9.26,2016-05-15,2016-05-22,8,0.87,0.27,-29.600001694262062,1514
210,34.9063,-118.922,2.14,7.41,2016-07-08,2016-07-14,7,0.52,0.31,-0.9000001460313842,1289
212,34.7604,-111.317,12.86,30.56,2016-06-06,2016-06-12,7,3.07,1.84,0.30000094771385477,1053
214,34.6979,-111.289,2.36,9.26,2016-06-09,2016-06-14,6,0.82,0.39,22.200000303983686,794
216,34.6771,-111.357,10.72,22.22,2016-06-12,2016-06-17,6,2.45,1.79,-5.499999955296526,940
218,34.6396,-111.296,2.57,8.33,2016-06-12,2016-06-13,2,1.4,1.29,0.2999991893768179,172
