fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,location,state,state_short,sentiment,magnitude,num_tweets
861036,-28.9145,122.1021,0.21,1.85,2017-02-07,2017-02-07,1,0.46,0.21,"Laverton, WA 6440, Australia",Western Australia,WA,
861038,-28.952,123.6939,67.53,83.34,2016-11-29,2016-12-04,6,5.72,11.25,"Laverton, WA 6440, Australia",Western Australia,WA,
861040,-28.952,115.7417,0.21,1.85,2017-03-25,2017-03-25,1,0.46,0.21,"Morawa, WA, Australia",Western Australia,WA,
861042,-28.9604,115.7701,0.43,2.78,2017-03-27,2017-03-28,2,0.65,0.21,"Morawa, WA, Australia",Western Australia,WA,
861044,-28.9729,115.584,5.79,13.89,2017-03-28,2017-04-03,7,1.07,0.83,"Mingenew, WA 6522, Australia",Western Australia,WA,
861046,-28.9687,115.7651,0.64,3.7,2017-03-26,2017-03-26,1,0.53,0.64,"Morawa, WA, Australia",Western Australia,WA,
861048,-28.9937,115.7312,4.72,13.89,2017-03-23,2017-03-30,8,1.06,0.59,"Morawa, WA, Australia",Western Australia,WA,
861050,-29.0145,115.7021,0.21,1.85,2017-03-28,2017-03-28,1,0.46,0.21,"Morawa, WA, Australia",Western Australia,WA,
861052,-29.0604,115.0909,1.07,5.56,2016-05-18,2016-05-23,6,0.43,0.18,"Irwin, WA, Australia",Western Australia,WA,
861054,-29.0604,115.0433,1.71,6.48,2016-05-06,2016-05-10,5,0.78,0.34,"Irwin, WA, Australia",Western Australia,WA,
861056,-29.0645,115.8631,0.21,1.85,2017-04-26,2017-04-26,1,0.46,0.21,"Morawa, WA, Australia",Western Australia,WA,
861058,-29.1104,124.0411,94.97,70.38,2016-11-29,2016-12-09,11,2.46,8.63,"Menzies, WA, Australia",Western Australia,WA,
861060,-29.0729,115.0715,1.07,5.56,2016-05-06,2016-05-08,3,0.6,0.36,"Irwin, WA, Australia",Western Australia,WA,
861062,-29.1062,115.228,0.21,1.85,2016-10-06,2016-10-06,1,0.46,0.21,"Irwin, WA, Australia",Western Australia,WA,
861064,-29.1145,117.2738,1.07,4.63,2017-03-22,2017-03-27,6,0.48,0.18,"Yalgoo, WA, Australia",Western Australia,WA,
861066,-29.127,115.2179,11.58,24.08,2016-09-29,2016-10-17,19,1.19,0.61,"Irwin, WA, Australia",Western Australia,WA,
861068,-29.1312,119.6063,1.71,7.41,2017-04-01,2017-04-04,4,1.05,0.43,"Menzies, WA, Australia",Western Australia,WA,
861070,-29.152,115.2507,1.5,7.41,2016-10-02,2016-10-10,9,0.49,0.17,"Irwin, WA, Australia",Western Australia,WA,
861072,-29.1729,115.5079,3.43,10.19,2017-04-19,2017-04-24,6,1.29,0.57,"Mingenew, WA 6522, Australia",Western Australia,WA,
861074,-29.177,115.4745,3.64,10.19,2017-03-28,2017-03-30,3,1.32,1.21,"Mingenew, WA 6522, Australia",Western Australia,WA,
861076,-29.1895,119.3211,0.64,4.63,2017-04-27,2017-04-27,1,0.46,0.64,"Menzies, WA, Australia",Western Australia,WA,
861078,-29.2104,115.5693,1.29,6.48,2017-03-31,2017-04-02,3,0.71,0.43,"Mingenew, WA 6522, Australia",Western Australia,WA,
861080,-29.2062,115.4739,1.07,5.56,2017-03-28,2017-03-28,1,0.95,1.07,"Mingenew, WA 6522, Australia",Western Australia,WA,
861082,-29.2062,119.307,0.21,1.85,2017-04-27,2017-04-27,1,0.46,0.21,"Menzies, WA, Australia",Western Australia,WA,
861084,-29.2437,115.7215,4.72,12.04,2017-03-29,2017-04-01,4,1.55,1.18,"Mingenew, WA 6522, Australia",Western Australia,WA,
861086,-29.2395,119.7231,0.21,1.85,2017-04-04,2017-04-04,1,0.46,0.21,"Menzies, WA, Australia",Western Australia,WA,
861088,-29.252,115.5304,0.43,2.78,2017-04-01,2017-04-03,3,0.35,0.14,"Mingenew, WA 6522, Australia",Western Australia,WA,
861090,-29.2604,115.2341,0.21,1.85,2017-04-23,2017-04-23,1,0.46,0.21,"Irwin, WA, Australia",Western Australia,WA,
861092,-29.302,115.5487,3.22,9.26,2017-03-28,2017-04-02,6,1.15,0.54,"Mingenew, WA 6522, Australia",Western Australia,WA,
861094,-29.3062,115.5868,2.57,10.19,2017-04-21,2017-04-24,4,1.79,0.64,"Mingenew, WA 6522, Australia",Western Australia,WA,
861096,-29.3062,115.4053,2.36,7.41,2017-04-24,2017-04-29,6,0.53,0.39,"Mingenew, WA 6522, Australia",Western Australia,WA,
861098,-29.3312,116.2508,2.36,12.04,2017-02-14,2017-02-16,3,1.51,0.79,"Perenjori, WA, Australia",Western Australia,WA,
861100,-29.3145,115.8113,0.21,1.85,2017-04-27,2017-04-27,1,0.46,0.21,"Three Springs, WA 6519, Australia",Western Australia,WA,
861102,-29.3312,115.62,0.43,2.78,2017-04-22,2017-04-22,1,0.46,0.43,"Mingenew, WA 6522, Australia",Western Australia,WA,
861104,-29.352,115.6531,3.86,12.04,2017-03-13,2017-03-16,4,1.32,0.96,"Mingenew, WA 6522, Australia",Western Australia,WA,
861106,-29.3479,115.94,8.36,19.45,2017-04-24,2017-04-30,7,1.56,1.19,"Perenjori, WA, Australia",Western Australia,WA,
861108,-29.3437,116.0548,0.64,3.7,2017-04-10,2017-04-10,1,0.53,0.64,"Perenjori, WA, Australia",Western Australia,WA,
861110,-29.3687,119.6882,1.5,6.48,2017-04-26,2017-04-26,1,0.88,1.5,"Menzies, WA, Australia",Western Australia,WA,
