fire_ID,latitude,longitude,size,perimeter,start_date,end_date,duration,speed,expansion,location,state,state_short,sentiment,magnitude,num_tweets
6446,46.4063,-116.481,3.43,15.74,2016-09-20,2016-09-28,9,1.97,0.38,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6448,46.3979,-118.276,1.07,5.56,2016-10-23,2016-10-30,8,0.8,0.13,"Walla Walla County, WA, USA",Washington,WA,-0.30000001192092896,0.699999988079071,2
6450,46.4021,-116.231,0.64,4.63,2016-08-23,2016-08-29,7,0.41,0.09,"Lewis County, ID, USA",Idaho,ID,-0.10000000149011612,1.100000023841858,6
6452,46.3938,-117.542,0.43,2.78,2016-03-28,2016-03-30,3,0.35,0.14,"Garfield County, WA, USA",Washington,WA,0,0,0
6454,46.3771,-116.51,1.29,7.41,2016-09-21,2016-09-21,1,1.76,1.29,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6456,46.3729,-116.289,0.21,1.85,2016-08-18,2016-08-18,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6458,46.3688,-116.293,0.86,4.63,2016-09-03,2016-09-09,7,0.46,0.12,"Lewis County, ID, USA",Idaho,ID,-0.10000000149011612,2.0,7
6460,46.3688,-118.786,0.21,1.85,2016-09-10,2016-09-10,1,0.46,0.21,"Franklin County, WA, USA",Washington,WA,-0.10000000149011612,0.699999988079071,4
6462,46.3604,-116.607,0.86,4.63,2016-08-29,2016-08-30,2,0.72,0.43,"Nez Perce County, ID, USA",Idaho,ID,0.0,1.2000000476837158,6
6464,46.3646,-116.483,0.21,1.85,2016-10-31,2016-10-31,1,0.46,0.21,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6466,46.3604,-116.51,0.43,2.78,2016-09-03,2016-09-04,2,0.46,0.21,"Nez Perce County, ID, USA",Idaho,ID,-0.10000000149011612,2.0,7
6468,46.3563,-118.228,0.43,2.78,2016-10-06,2016-10-09,4,0.31,0.11,"Columbia County, WA, USA",Washington,WA,0.0,0.20000000298023224,2
6470,46.3563,-116.296,0.21,1.85,2016-09-10,2016-09-10,1,0.46,0.21,"Lewis County, ID, USA",Idaho,ID,0,0,0
6472,46.3479,-116.532,1.07,6.48,2016-09-13,2016-09-20,8,0.72,0.13,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6474,46.3479,-118.095,1.5,7.41,2016-09-15,2016-09-22,8,1.03,0.19,"Columbia County, WA, USA",Washington,WA,0,0,0
6476,46.3396,-116.279,0.43,3.7,2016-09-10,2016-09-12,3,0.93,0.14,"Lewis County, ID, USA",Idaho,ID,0,0,0
6478,46.3396,-116.532,0.64,3.7,2016-11-03,2016-11-04,2,0.6,0.32,"Nez Perce County, ID, USA",Idaho,ID,0,0,0
6480,46.3438,-116.312,0.43,3.7,2016-09-20,2016-09-20,1,0.51,0.43,"Lewis County, ID, USA",Idaho,ID,0,0,0
6482,46.3229,-116.509,7.93,23.15,2016-10-30,2016-11-04,6,1.49,1.32,"Lewis County, ID, USA",Idaho,ID,0,0,0
6484,46.3313,-119.447,0.21,1.85,2016-09-04,2016-09-04,1,0.46,0.21,"Benton County, WA, USA",Washington,WA,0,0,0
